,RequiredQual,Eligibility,Title,JobDescription,JobRequirment
18096,"Develop and debug enterprise applications in various software languages including: Java, JavaScript, J2EE; Experience with the object-oriented design and analysis; Familiarity with the industry technology and frameworks encompassing SQL, JSON, REST; Performance tuning and profiling expertise is desirable; Knowledge of the component framework and modern application container is a plus; Agile software development experience is a plus; At least 5 years of experience in an application development position; Bachelor's degree in Computer Sciences or a related discipline; commensurate experience is also accepted; Understanding of SOA, ESB and distributed systems; Experience with Maven, Git, GitHub, Gradle is a plus; Experience with JPA, ORM: Hibernate/ EclipseLink, JMS, ActiveMQ/ RabbitMQ, AngularJS is a plus; Experience in continuous integration/ delivery; Experience in a team-centric software development, high performance software delivery in a team is an advantage.",,Java Developer,"Workfront is a technology company that needs a
motivated and talented Senior Java Developer.","- Design, collaborate, and execute on amazing software features in the
SaaS ecosystem;
- Learn continuously from other team members and peers to drive the
career;
- Demonstrate technical excellence through results, consistency and
mastery;
- Coordinate with other business units to achieve product goals within a
cross-functional matrix organization;
- Enjoy coming to work everyday and be aware of being an integral part of
the Company's future and success."
18100,"Bachelor's degree in Computer Sciences or a related discipline; At least 3 years of experience in an application development position; At least 2 years of professional work experience as a Java Developer in J2EE; Familiarity with the industry technology and frameworks encompassing SQL, JSON, REST; Agile software development experience is a plus; Advanced knowledge of OOP and OOD; Experience with web frameworks such as Spring and JSP/ Servlets; Excellent communication, interpersonal, problem-solving and relationship management skills; Ability to work on multiple tasks and prioritize personal workload; Detail-oriented personality and self-starter; Experience with JBoss, Selenium, Oracle, MySQL, Maven, Git, GitHub, JPA, ORM including Hibernate/ EclipseLink, JMS, ActiveMQ, continuous integration/ delivery will be a plus; Experience in the team-centric software development, high performance software delivery in a team will be a plus.",,Java Developer,"Workfront is a technology company that needs a
motivated and talented Java Developer.","- Design, collaborate and execute on amazing software features in the
SaaS ecosystem;
- Learn continuously from other team members and peers to drive the
career;
- Perform software development, test case development and usability of
products;
- Enjoy coming to work everyday and be aware of being an integral part of
the Company's future and success."
18105,"Up to 3 years of experience of working on the web; candidates with more than 3 years of experience are also welcome; Working knowledge of HTML5, CSS3, JavaScript and jQuery; Work experience with OOP, PHP; knowledge of PHP based frameworks is a plus; Experience with WordPress development, theming, customization and plugins; Work experience in building mobile responsive layouts; Working knowledge of various CSS frameworks is a great plus; Experience with MySQL; At least intermediate level English language skills; Analytical thinking and multitasking skills; Can-do approach, desire to develop professionally and take new and challenging tasks.",,Web Developer,"DeepRedMedia Solutions is looking for an experienced
Web Developer who will be responsible for building new websites and
maintaining existing websites by using the industry standard technology.","- Develop and test new websites;
- Support existing websites/ products;
- Apply design specifications to the functional code;
- Optimize the website performance;
- Work with other responsible team members to ensure outstanding customer
experience."
18112,"3-5 years of experience with Android development; Ability to work in a team environment; Highly motivated, passionate, adaptable person; eagerness to learn new technologies and methods; Fluency in the English language (reading, writing and speaking); Good communication skills; Good team player; ability to accept criticism; Fast learner, responsible personality.",,Android Developer,"The incumbent will develop software applications
working in a distributed team.","- Participate in all steps of the software project from design to
integration;
- Analyze and investigate architectural defects of existing projects;
- Implement features;
- Fix problems."
18119,"Good skills in PHP programming with knowledge and/ or experience in Zend Framework, HTML, CSS, Bootstrap and JavaScript (jQuery); Good knowledge of the English language; Good communication and interpersonal skills; Ability to work in a team; Readiness to work under pressure; Commitment to the Project goals.",,Web Developer,"Wandelion.com Online Travel Platform is looking for a
Web Developer. The website is currently under the development process and
all the required information including the website architecture will be
handed over to the incumbent by the current developers team. The Web
Developer will work under the supervision of the Project Director on the
development, bugfixing and maintenance of the Wandelion.com website.",
18140,At least 2 years of experience with Android development; Good knowledge of Android SDK (2.3 5.x); understanding of differences of Android versions; Good knowledge of Android UI design principles and understanding of how to deal with different screen sizes; Strong technical capacity and the ability/ passion to learn; Experience in C# will be a great plus.,,Android Developer,,"- Participate in all steps of the software project from design to
integration;
- Implement features;
- Estimate overall timelines;
- Detect and correct issues and optimize performance of the application;
- Write a well-organized and high-performance Java code meeting Object
Oriented principles."
18141,BS/ MS in Computer Science or Information Systems Management; At least 5 years of experience with Oracle 11g R2 database administration; At least 3 years of experience in the database administration of mission critical production; Hands-on experience with setup and maintenance of Oracle streams; In depth knowledge of database security standards and best practices; Proficiency in RMAN utility configuration; Hands-on experience in database performance tuning; Ability to learn new technologies with minimum supervision; Strong communication skills with the ability to communicate technical information effectively; Ability to work for extended hours and willingness to travel; Fluency in the English language.,,Database Admin/Dev,,"- Responsible for installation and configuration of Oracle database;
- Provide administration and support for Oracle database in production
environments;
- Optimize the production database;
- Implement backup and recovery solutions;
- Implement and maintain Oracle streaming."
18146,"Bachelor's degree in Computer Science; Master's degree is a plus; 2-3 years of experience with Java development; Working knowledge and experience with: a) Java, Groovy; b) Grails, Spring, Spring Security, Spring Integration, Hibernate; c) HTML5/ jQuery; d) JMS, RabbitMQ; e) JUnit/ Mockito; f) RESTful Web Services; g) Ant/ Maven/ Gradle, Git; h) Oracle, MySQL; Fluency in the English language (both written and verbal); Ability to travel abroad, if required.",,Java Developer,"Webb Fontaine Holding LLC is seeking Java Developers to
be responsible for the development of Java applications.",
18149,"Higher education in a relevant field of studies; Good knowledge of OOP principles; Basic knowledge of the English language; ability to read and understand technical documentation; Ability and the willingness to learn; Self-motivated, organized personality and a good team player; Good problem-solving skills; Knowledge of the following technologies is a plus: a) HTML, CSS, XML/ XSLT, JavaScript, jQuery, Dojo Toolkit, AngularJS, GWT; b) JEE including Servlet, JSP, JSTL, JNDI, JMS, JAX-WS; c) Databases such as MySQL, PostgreSQL, Oracle, MSSQL; d) Persistence Layer Frameworks such as MyBatis, Hibernate; e) Spring Frameworks, Spring Security; f) Web Services Frameworks such as CXF, Axis2, Metro, Spring WS; g) Apache Technologies such as Commons Libraries, Ant, Log4J, ActiveMQ, MINA, Jackrabbit, Hadoop.",,Java Developer,EYESoft LLC is looking for a Java Developer.,"- Design, develop and maintain software applications;
- Work independently complying with the task guidelines established by
the team leader;
- Find effective solutions for systems;
- Work as a part of the development team;
- Learn new technologies."
18197,"BS in a relevant field; 2 years of work experience as a WinForm Developer with C#; Strong knowledge of ASP.Net; Strong knowledge of SQL, LINQ, Ado.Net Entity Framework, JavaScript and Jquery; Experience in service-oriented development (web services, WCF); Drive for learning new technologies; Leadership skills for mentoring junior mates; Team working, strong problem-solving and good communication skills; Knowledge of the English language is a plus.",,Software Engineer,"Lime Tech is seeking a highly professional programmer
for the position of Senior Software Engineer to lead the development
process of a new product.","- Lead the process of product development from scratch;
- Participate in the process of gathering of product requirements and
discussions;
- Develop the core architecture of the product;
- Assist in creating and tracking technical documentation;
- Read, understand and modify the existing code as needed;
- Develop applications in accordance with given specifications;
- Mentor and lead the junior developers team."
18213,"At least 5 years of work experience as a PHP Software Developer; Strong knowledge of PHP5, JavaScript (JQuery, AngularJS), HTML5, CSS3, Bootstrap; Strong knowledge of Yii framework; knowledge of other frameworks is a big plus; Strong knowledge of MySQL and MongoDB; Experience with Magento is a big plus; Good problem-solving skills and the ability to work independently; Good oral and written communication skills; fluency in the English language.",,PHP Developer,"e-Works LLC is looking for a Senior PHP Developer to
join the team working on international projects.","The job responsibilities of the Senior PHP
Developer include but are not be limited to the following: 
- Develop and maintain web applications in accordance with given
specifications;
- Participate in project planning;
- Work collaboratively and effectively on team projects;
- Be flexible in learning new technologies."
18225,"B.S. in Computing Science; At least 2 years of relevant work experience; Experience in testing mobile applications is desired; Knowledge of MS SQL; Knowledge of VS TFS and Test Manager; Experience in working with automated testing tools is desired; Ability to work on multiple tasks and projects simultaneously; Mastery of the technical English language; Good communication skills; Good team player; ability to accept criticism; Ability to work in a fast-paced dynamic environment, be flexible and adapt to changing requirements and customer requests.",,Software QA Engineer,"The successful candidate will become a part of the
Company's testing team. He/ she will mainly work on various parts of the
web and mobile applications of the Company.","- Review and analyze project requirements and specifications;
- Design and update testing documentation (test plans, test cases, user
stories);
- Identify, reproduce and report bugs;
- Discuss project issues with the development and management teams and
clients;
- Perform functional, compatibility, usability, performance and load
testing;
- Verify fixed defects and perform regression tests to ensure the quality
of software releases;
- Work closely with the development team."
18228,Higher Education; B.S. in Computing Science or any related technical fields; Knowledge of .Net Framework (C#); Knowledge of  MS SQL Server 2008 (T-SQL); Understanding of ASP.NET; Understanding of OOP/ OOD; Fluency in the Armenian language; good knowledge of the Russian and English languages.,,.NET Developer,"Armeconombank is seeking a .NET Developer to work in
the IT Department of the Head Office.",
18233,"At least 4 years of experience in developing applications in C#, ASP .NET and SQL Server; Experience in coding of T-SQL statements, stored procedures, triggers and functions; Understanding of the mobile-responsive application development; Knowledge of jQuery and JavaScript is a big plus; Demonstrated ability to evaluate user needs or specifications and translate them into a logical and practical set of software components; Ability to own your assignments, formulate your own questions and work with team members to get the answers you need in order to complete assignments; Excellent analytical and problem-solving skills.",,.NET Developer,"As a Senior .NET Developer, the incumbent will help
build the Company's next-generation web applications where users connect
on a daily basis to learn, contribute and interact. You will be
responsible for developing and supporting business solutions using the
.NET Framework for the Company's clients and work in a varied, fast-paced
environment.","- Analyze, design and develop systems and applications working with the
full software development lifecycle of projects;
- Contribute to sprint planning and design, stand-ups, reviews and
retrospectives;
- Review and provide an input on requirements for multiple products."
18258,"Proficiency in graphic design software such as Adobe Photoshop, Illustrator and CorelDraw; At least 2 years of work experience as a Graphic Designer; Knowledge of 3D Max or rendering software will be a plus; Ability to work under deadlines; Strong team working skills.",All qualified and interested candidates.,Graphic Designer,,"The job responsibilities include but are not
limited to the following:
- Design banners for online promotions, the website and social media;
- Design leaflets, business cards and catalogues for the offline
promotion;
- Work on the existing jewellery photos and renderings and make them
professional for online sales and promotion."
18264,"The particulars of experience are not as important to the Company as generally being a smart person. Smart people learn quickly, so use the bullet points below as a guideline: Positive attitude with a ""can do"" mentality; At least 2 years of experience with iPhone development; Good knowledge of iOS UI design principles and practical understanding of auto-layout principles; Experience of consuming web services (REST) and data processing (XML, JSON); Experience with embedding and using 3rd party sources and libs; Experience with Objective-C blocks and multi-threaded apps.   Desired Qualifications Strong technical capacity and the ability/ passion to learn; Experience with networking frameworks; Experience with SQLite or other SQL based database systems; Experience with C will be a great plus.",,iOS Developer,"Accontech is currently looking for talented thinkers
and software engineers for the position of iOS Developer. The candidate
will be highly involved in the ideation and brainstorming of new
applications and will work quickly and efficiently to produce innovative
solutions.","- Write a well-organised and high-performance code meeting
object-oriented principles;
- Estimate overall timelines, risks and requirements;
- Participate in design meetings to speak about the feasibility of design
requirements;
- Detect and correct issues and optimize the performance of the
application."
18267,"The particulars of experience are not as important to the Company as generally being a smart person. Smart people learn quickly so use the bullet points below as a guideline: Positive attitude with a ""can do"" mentality; At least 2 years of experience in Android development; Good knowledge of Android SDK (2.3 5.x); understanding of differences of Android versions; Good knowledge of Android UI design principles and understanding of how to deal with different screen sizes; Knowledge of  multi-threading principles and specifics of the Android platform; Experience with embedding and using 3rd party sources and libs; Experience of consuming web services (REST) and data processing (XML,JSON); Strong technical capacity and ability/ passion to learn; Experience with networking frameworks is a plus; Experience with SQLite or other SQL based database systems is a plus; Experience with C will be a great plus; Knowledge of the English language to read technical documentation and conduct internet research; ability to verbally provide a technical description.",,Android Developer,"Accontech is currently looking for talented thinkers
and software engineers for the position of Android Developer. The
candidate will be highly involved in the ideation and brainstorming of
new applications and will work quickly and efficiently to produce
innovative solutions.","- Write a well-organised and high-performance code meeting
object-oriented principles;
- Estimate overall timelines, risks and requirements;
- Participate in design meetings to speak about the feasibility of design
requirements;
- Detect and correct issues and optimize the performance of the
application."
18283,"BS/ MS degree in Computer Science or in a similar discipline; More than 3 years of programming experience; Knowledge of Unix-like operating systems; Familiarity with Object Oriented Programming concepts; More than 1 year of experience in Python; More than 1 year of experience in Database (SQL optimized queries, creating DB architecture, etc.); Experience in Django (with deployment experience, WSGI/ uWSGI); Apache administration and virtual hosts configuration experience; More than 1 year of experience in Javascript, CSS, HTML5; Knowledge of Git or other version control system; Experience in managing small teams; Good communication and writing skills in the English language; Experience in frontend development (Angular, EmberJS, KnockoutJS, ReactJS, etc.); Knowledge of Nginx, RabbitMQ, Nodejs, Redis/ Memcached, Bash scripting, Scrum/ XP practices is a plus.",,Web Developer,,"- Participate in the complete workflow of the development process - 
release and deployment, post-release and maintenance support, including
improvements' identification, bug reporting/ fixing, communication;
- Communicate with team members on project progress, technical issues,
etc.;
- Communicate with product owner, provide tasks plan and status reports,
participate in meetings and conference calls."
18298,"University degree in the appropriate field of studies; At least 5 years of practical experience with Java development; Knowledge of MySQL; Knowledge of databases (MSSQL, Oracle, Cassandra, HBase) is a plus; Deep knowledge of the J2EE framework and the internals of architecture including JSP, servlets, JDBC, transaction services, Logging (Log4J), thread management and development of asynchronous java processes; Solid understanding of object-oriented programming (OOP); Experience with ORM tools such as Hibernate; Experience with web servers like Tomcat/ Apache; Experience in understanding system security standards and their implementation (Ex, SQL Injections, Cookies); Ability to perform code reviews and recommend automated review tools for the project; Ability to think through performance requirements for a system and come out with testing those scenarios and troubleshoot server runtime issues that result; Experience with working in the Linux environment (Debian and Ubuntu); Good analytical skills; Ability to work in a team; Good knowledge of the English language (both communication and technical).",,Java Developer,"Monitis is looking for a Senior Java Developer who will
join the Company's team to develop and extend Monitis products.","- Participate in the application design;
- Provide the necessary technical and design documentation;
- Apply the development experience against big data projects and use
agile practices to continuously innovate and incrementally deliver the
system functionality;
- Responsible for determining the appropriate data models, data
transformation technologies and algorithms needed to advance the
organization's mission efficiency;
- Communicate effectively with the local management and external team
members;
- Develop features according to technical specifications."
18317,"Bachelor's or Master's degree in a relevant field; At least 5 years of work experience with Java and web development; Experience with web development with the Java EE platform; Knowledge of Java and OOP; Knowledge of Java technologies such as JSF, EJB, Hibernate, Spring, JAX-WS, Axis; Knowledge of databases; good knowledge of SQL; familiarity with MySQL and Oracle databases; database modeling skills; Knowledge of (X)HTML, CSS, JavaScript and XML; Knowledge of GWT is a plus; Ability to work on a project with a development team; Problem-solving skills; Strong interpersonal skills.",,Java Developer,"IUNetworks LLC is looking for a motivated Senior Java
Developer for the development of web-based, enterprise-level
applications.","- Analyze the given task and provide expertise to interested parties;
- Develop software based on requirements;
- Develop unit tests for the developed software;
- Provide task estimates to interested parties;
- Identify possible risks and report them;
- Accurately resolve (and test after the resolution) assigned requests,
report their statuses;
- Provide technical documentation for the developed software."
18339,Higher education in IT or a relevant field; Strong skills in Apple and Windows workstation administration; Good knowledge of the English language; Analytical and problem-solving skills; Ability to learn; At least 1 year of work experience in a relevant sphere; Experience in working with Office365 or Google applications is welcome.,,IT Specialist,"The UWC Dilijan College is seeking an IT Specialist who
will provide high quality IT support services (generally in the English
language) to the staff and students. In addition, he/ she will be
responsible for monitoring of network and server systems.","- Support Mac and Windows users (system configuration, diagnostics
etc.);
- Install, configure and maintain OS and various software on MAC and PC
workstations;
- Responsible for user support and account management on cloud (Office
365) and local servers;
- Monitor the network usage and server load by provided tools;
- Perform other duties assigned by the Head of IT Department."
18343,"BS in Computer Science or any related technical field; Good knowledge of OOP; Strong knowledge of C# and principles of .NET platform; At least 3 years of experience with technologies (such as WPF, Win Forms, ASP.NET, ASP.NET MVC); At least 3 years of experience with data access technologies (ADO.NET, LINQ to Entities); At least 3 years of experience in using web service technologies (WCF, REST, JSON); Work experience in database and backend developer roles; Knowledge of MS SQL server, developing queries and stored procedures; Familiarity with the software development process; Good knowledge of the Russian and English languages is an asset.",,.NET Developer,"BetArchitect is looking for a .NET Developer with a
strong knowledge of .NET programming and database development concepts.
He/ she will be involved in the entire life cycle of the web application
development process working on all tiers.","- Design, develop and support new and existing business solutions;
- Create and maintain SQL queries, stored procedures, triggers and
views;
- Implement backend/ data access layer within web applications/ web
services;
- Work in a team or individually in all phases of the software
development life-cycle;
- Develop applications according to the technical documentation;
- Guide junior developers in the everyday task assessment."
18344,"BS in Computer Science or any related technical field; At least 3 years of experience with technologies (such as ASP.NET, ASP.NET MVC); At least 2 years of experience in using web service technologies (WCF, REST, JSON); Experience with HTML5, CSS3, JavaScript, jQuery, AngularJS, Knockout; Experience with data access technologies (ADO.NET, LINQ to Entities); Strong knowledge of C# and principles of .NET platform; Work experience in MSSQL database and back-end developer roles; Good knowledge of the Russian and English languages is an asset; Flexibility in learning and applying different programming languages and technologies.",,Web Developer,"BetArchitect LLC is looking for a Web Developer to be
engaged in different long-term projects.","- Develop web applications;
- Participate in all cycles of software design and development;
- Read, understand and modify the existing code;
- Work as a part of the software development team."
18358,"At least 5 years of software development experience of PHP; Bachelor's/ Master's degree in Computer Science, Engineering or a related field; Full proficiency in PHP (Functions, Scopes, Code organization, stages of code processing, optimization of processes); Strong knowledge of OOP and Design Patterns; Strong knowledge of sessions/ Cookies; Strong knowledge of caching mechanisms (Memcached, APC); Strong knowledge of mailing (protocols: IMAP, POP3); ability to send mail via PHP and external services; Experience with PHP Multibyte string manipulations; Knowledge of PHP frameworks; Strong knowledge of MySQL; Strong knowledge of database Design principles, normalization/ denormalization; Strong knowledge of MySQL data types, indices (types of indices), query execution stages (How queries are executed); Experience with Query optimization; Strong knowledge of HTML, CSS and JavaScript; Experience with JIRA or other issue/ task tracking systems; Experience with GIT; Experience with Stash, Github or BitBucket; Knowledge of Agile/ Scrum/ Kanban or other similar project management methodologies; Experience with Linux; Experience with installing and managing Apache, configuring virtual hosts and htaccess files; Experience with managing DNS; Good knowledge of the English language.",,PHP Developer,"Joomag AM LLC is seeking a highly motivated Senior PHP
Developer who will become a part of the Company's team, participate in
the development of a custom-built (no frameworks used) large-scale
project, research new technologies and propose solutions for emerging
problems.","- Develop and deploy new features to facilitate related procedures and
tools if necessary;
- Write a ""clean"", well-designed code;
- Contribute in all the phases of the development lifecycle;
- Produce detailed specifications;
- Design PHP modules from ground up as a part of the project and
standalone;
- Optimize databases for performance;
- Design relational databases for projects;
- Integrate new tables into existing databases;
- Work with external services and APIs."
18402,"Excellent knowledge of the English language both communication and technical levels; BS in Computer Science or a related field; At least 2 years of experience as Senior QA Engineer with solid progression in responsibility; Experience with testing high performance systems is a plus; Working knowledge of Linux/ Unix, Solaris and Windows environments is a plus; Advanced knowledge of the system development lifecycle, methodology and testing knowledge; Solid knowledge of quality assurance techniques, testing concepts, methodologies and tools; Expert ability to apply quality assurance knowledge to in-depth testing and test plans; Excellent analytical skills with the ability to investigate and research multiple sources; Excellent interpersonal and oral/ written communications skills; Advanced knowledge of Trading Systems and Trading concepts, particularly within the Equities realm, is a very important asset; Expert ability to apply concepts of unit, system, regression, product, integration and acceptance testing; Broad experience in using different testing tools (jmeter, jprofiler, selenium, etc.); ability to adapt and learn quickly with any other testing tool; Good understanding of automation testing approaches.",All qualified candidates.,Software QA Engineer,"The Senior QA Engineer will provide expertise in the
area of Manual and Automated QA activities for client-server
applications, with a particular focus on web components and a high volume
data flow and transactions.","- Write test plans and test cases throughout the development lifecycle;
- Ensure test plans thoroughly cover all requirements and use cases;
- Plan, schedule and perform manual and automated software tests;
- Develop automated regression test suites using automated testing
tools;
- Foster a continuous improvement approach to QA activities;
- Review tools implementations and encourage best practices and sound
design principles while remaining practical and deadline-driven;
- Work closely with software developers to perform early testing on
components prior to integration builds;
- Manage defect tracking; monitor and report results;
- Report the QA status, as appropriate, to keep project stakeholders
informed on deliverables and timelines."
18436,"At least 2 years of experience in building dynamic web sites and implementing projects; Bachelor's degree in Computer Science, Software Engineering or a similar field from an accredited institution; Experience in building and delivering applications for the web; Good understanding of best practices for UI/ UX; Strong foundation in OOP, algorithms and design patterns; Experience with PHP, Javascript, MySql, NoSQL databases (MongoDB, REDIS), HTML, CSS; Good knowledge of frameworks such as ZF2, Symphony2, AngularJS, NodeJS; Experience in creating RESTful, JSONRPC or other web services; Good knowledge of the English language, both written and spoken.",,Web Developer,"BigBek is looking for a self-driven, proactive Senior
Web Developer.","- Analyse requirements, develop, maintain and lead web applications;
- Participate in all phases of the development lifecycle;
- Ensure project completion on schedule and in a high quality;
- Interact with Project Managers to solve complex problems and deliver
solutions;
- Produce and maintain a well-documented code as well as debug the
existing code."
18439,"BS or MS in Computer Science; 2-3 years of experience in Java development; Working knowledge and experience with: a) Java, Groovy; b) Grails, Spring, Spring Security, Spring Integration, Hibernate; c) HTML5/ jQuery; d) JMS, RabbitMQ; e) JUnit / Mockito; f) RESTful Web Services; e) Ant / Maven / Gradle, Git; f) Oracle, MySQL; Ability to learn new technologies with minimum supervision; Strong communication skills with the ability to communicate technical information effectively; Ability to work for extended hours and willingness to travel; Fluency in the English language.",,Java Developer,"Webb Fontaine Holding is seeking highly talented Java
Developers to join their international team of Developers who work in
multiple projects.","- Develop new Java applications;
- Maintain the existing applications;
- Provide the technical support of applications in the production
environment."
18440,Bachelor's degree in Computer Sciences or other related fields; At least 3 years of iOS development experience; At least 3 years of proven work experience in software development; Availability of implemented projects on the Itunes Market; Experience with third-party libraries and APIs; Solid understanding of the full mobile development lifecycle; Ability to quickly handle codes written by others.,,iOS Developer,"Citymobil is looking for an iOS Developer who possesses
a passion for pushing mobile technologies to the limit. The incumbent
will work with the Company's team of engineers to design and build the
next generation of the Company's mobile application.","- Design and build advanced applications for the iOS platform;
- Collaborate with cross-functional teams to define, design and ship new
features;
- Work with outside data sources and API's;
- Test automation using Robotium;
- Work on bug fixing and improving the application performance;
- Discover, evaluate and implement new technologies continuously to
maximize the development efficiency."
18447,"University degree in the appropriate field of studies; At least 2 years of work experience in the appropriate field; Ability to create professional web pages using HTML/ HTML5, CSS/ CSS3 technologies; Experience with object-oriented software development methodologies; Knowledge of jQuery, ExtJs; Experience with the cross browser; Good knowledge of NodeJs, JavaScript; Interest in design; ability to modify things (or add things) to a given design; Detail-oriented personality; Problem-solving and analytical skills with the ability to clearly communicate and share solutions with fellow team members; Ability to respect deadlines; Good knowledge of the English language.",All qualified candidates.,Web Developer,"Monitis is seeking a Web Developer, who will work as a
part of a frontend development team.","- Implement web applications;
- Take the responsibility to make changes on a live environment."
18467,Bachelor's degree in Computer Science or in a related field; At least 4 years of work experience as a Java Developer; Solid professional work experience in Java/ J2EE; Experience with the source control management and Maven build tools; Solid experience with OOP/ OOD; English language proficiency in both written and verbal communications; Ability to work on competing priorities and adapt to changes in the project scope; Work experience in Agile/ Scrum projects is a plus; Knowledge of TDD principles is a plus; Knowledge of the French language is a plus.,,Java Developer,"Energize Global Services CJSC is looking for Java
Developers (mid and senior level) for an international project on
ePayment/ bank payment systems.","- Design and develop enterprise-level software solutions according to
technical specifications;
- Write test plans and test cases for the developed modules;
- Work productively as a key member of a software development team;
- Enhance the existing code by identifying the areas for improvement;
- Participate in requirements gathering and task definitions with the
colleagues abroad;
- Actively participate in the estimation and planning of the defined
tasks."
18468,"BS/ MS degree in Computer Science, Engineering or a related field; At least 3 years of work experience as an Android Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Android SDK; Knowledge of the SQLite database (creating databases, writing queries); Ability to work on a project with a development team; Problem-solving skills; Good communication skills; Ability to work on competing priorities and adapt to changes in the project scope; Good English language proficiency in both written and verbal communications.",,Android Developer,"Energize Global Services CJSC is looking for Android
Developers (mid and senior level) who possess a passion for pushing
mobile technologies to the limit and who will work with the Company's
team of engineers to design and build the next generation of mobile
applications.","- Participate in application design;
- Provide necessary technical and design documentation;
- Work effectively in a software development team;
- Develop applications according to technical documentation;
- Develop test cases;
- Install and configure the necessary environment for the developed
applications."
18469,"BS/ MS degree in Computer Science, Engineering or a related field; At least 3 years of experience in iOS development; Deep familiarity with Objective-C and Cocoa Touch; Availability of having published one or more iOS apps in the app store; Experience of GUI design and development; Work experience with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text; Good working knowledge of Xcode; Knowledge of the Swift language; Experience with third-party libraries and APIs; Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies; Solid understanding of the full mobile development life cycle; Ability to work on competing priorities and adapt to changes in the project scope; English language proficiency in both written and verbal communications.",,iOS Developer,"Energize Global Services CJSC is looking for iOS
Developers (mid and senior level) who possess a passion for pushing
mobile technologies to the limit and who will work with the Company's
team of engineers to design and build the next generation of mobile
applications.","- Design and build advanced mobile banking/ commerce and other business
related applications for the iOS platform;
- Collaborate with cross-functional teams to define, design, and ship new
features;
- Responsible for unit-testing of a code for robustness, including edge
cases, usability, and general reliability;
- Work on bug fixing and improving the application performance;
- Discover (continuously), evaluate, and implement new technologies to
maximize development efficiency."
18481,"At least 3 years of work experience as a Java Software Developer; English language proficiency in both written and verbal communications; Knowledge of Java 7, Spring Framework, Hibernate, JMS, Wicket (or preparedness to learn it) and SQL; Knowledge of Unix OS, shell scripting and command-line; Critical thinking skills and love for solving problems; Good communication skills; Patience, persistence and technical curiosity; Positive attitude to a collegial, collaborative work environment; Experience with eCommerce and/ or order fulfillment systems is a privilege.",,Java Developer,"GreaterGood.com is seeking a highly capable Senior Java
Developer who is passionate about web technologies and has elegant user
experience. The incumbent will join the Company's web team in building
next generation features for its various eCommerce web properties.","- Develop enterprise-level software solutions according to technical
specifications;
- Participate in the all cycles of software design and development;
- Contribute to the quality of coding and assure the conformance of
source codes;
- Provide necessary technical and design documentation;
- Analyze requirements and work with team members to create quality
results;
- Communicate effectively with the local management and external team
members;
- Participate in internal and external meetings."
18483,"B.S. in Computing Science; At least 2 years of relevant work experience; Experience in testing mobile applications is desired; Knowledge of MS SQL; Knowledge of VS TFS and Test Manager; Experience in working with automated testing tools is desired; Ability to work on multiple tasks and projects simultaneously; Mastery of the technical English language; Good communication skills; Good team player, ability to accept criticism; Ability to work in a fast-paced dynamic environment, be flexible and adapt to changing requirements and customer requests.",,Software QA Engineer,"The Software QA Engineer will become a part of the
Company's testing team. He/ she will mainly work on the various parts of
Company's web and mobile applications.","- Review and analyze project requirements and specifications;
- Design and update testing documentation (test plans, test cases, user
stories);
- Identify, reproduce and report bugs;
- Discuss project issues with development and management teams and
clients;
- Perform functional, compatibility, usability, performance and load
testing;
- Verify fixed defects and perform regression tests to ensure the quality
of software releases;
- Work closely with the development team."
18485,"Bachelor's or Master's degree in a relevant field; 5 years of experience in developing Java web-based applications; Strong Java and Spring/ Spring MVC development experience in a project setting; Experience with JSP, AJAX, JQuery and JavaScript; Experience with XML, HTML, CSS, cross-browser compatibility; Experience with relational databases (such as MS SQL Server, MySQL); Experience in the data model and object design; Strong understanding of OOP principles; Good knowledge of the English language; Excellent communication and team working skills; Ability to work independently.",,Java Developer,"EPAM Systems, Inc. is seeking for Senior Java
Developers to join the growing team in developing enterprise-level
software solutions. The Company is looking for energetic people who are
ready for teamwork and Agile software development.","- Lead or contribute to the software development effort subject to
seniority/ experience;
- Participate in all the cycles of software design and development;
- Contribute to the quality of coding and assure conformance of source
codes to the set standards;
- Assist in the development of accompanying technical documentation where
necessary;
- Contribute to the continuous improvement of software engineering
practices and tools;
- Refactor and re-engineer the existing code base safely;
- Communicate the knowledge to fellow team members; train and guide
junior team members;
- Analyze high-level requirements and work with team members to create
quality results;
- Participate in internal and external meetings."
